SHOW_GUIDE_TITLE,DATE,START_TIME,END_TIME,LOCATION,CATEGORY,PRESENT_IN_STAGING,STAGING_TITLE,STAGING_TIME,STAGING_LOCATION,MATCH,RECOMMENDED_ACTION,CONFIDENCE
Lawn Mower Races (to be confirmed),2026-09-24,9:30 AM,,Event Centre #1 — West 2,Event Centre #1,no,,,,missing,Guide TBC item absent from staging — confirm with organizers before adding; do not invent.,MEDIUM
Foxton Fuels Farmall Square Dancing Tractors,2026-09-24,10:30 AM,,Event Centre #1 — West 2,Event Centre #1,yes,Foxton Fuels Farmall Square Dancing Tractors,10:30 AM,Event Centre #1 — West 2,exact,No change,HIGH
Foxton Fuels Farmall Square Dancing Tractors,2026-09-24,1:00 PM,,Event Centre #1 — West 2,Event Centre #1,yes,Foxton Fuels Farmall Square Dancing Tractors,1:00 PM,Event Centre #1 — West 2,exact,No change,HIGH
Lawn Mower Races (to be confirmed),2026-09-24,3:30 PM,,Event Centre #1 — West 2,Event Centre #1,no,,,,missing,Guide TBC item absent from staging — confirm with organizers before adding; do not invent.,MEDIUM
The Skeleton Crew,2026-09-24,7:00 PM,10:00 PM,The Bruce RV Park,The Bruce RV Park - Nightly Entertainment,yes,The Skeleton Crew,7:00 PM–10:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,conflict,LOCATION CONFLICT: Guide 'The Bruce RV Park' vs staging 'CKNX Centennial Pavilion (GFO Stage) Lounge'. Prefer Guide physical venue (Bruce RV Park ≠ CKNX Lounge).,HIGH
Combines Parade,2026-09-25,11:00 AM,,Parade route (Guide does not specify assembly point),Parade Week,yes,Combines Parade,11:00 AM,Parade route coming soon,exact,No change,HIGH
"Speeches, Ontario Queen of the Furrow Competition",2026-09-25,10:00 AM,1:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Queen of the Furrow Speeches,10:00 AM–1:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Saugeen First Nations,2026-09-25,1:00 PM,3:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Saugeen First Nations,1:00 PM–3:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
J.C Duo,2026-09-25,3:30 PM,5:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,J.C Duo,3:30 PM–5:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Hard Martin & The Heros,2026-09-25,10:30 AM,12:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Hard Martin & The Heros,10:30 AM–12:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Mandi Craddock,2026-09-25,1:00 PM,3:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Mandi Craddock,1:00 PM–3:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
No Expectations,2026-09-25,3:30 PM,5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,No Expectations,3:30 PM–5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Tractors,2026-09-25,9:00 AM,,Plowing Fields,Plowing,yes,Tractor Plowing,9:00 AM,Plowing Fields,exact,No change,HIGH
Horse Plowing,2026-09-25,9:00 AM,,Plowing Fields,Plowing,yes,Horse Plowing,9:00 AM,Plowing Fields,exact,No change,HIGH
Gregglea Clydesdales,2026-09-25,10:30 AM,,RAM Truck Corral,RAM Truck Corral,yes,Gregglea Clydesdales,10:30 AM,RAM Truck Corral,exact,No change,HIGH
Canadian Cowgirls Precision Drill Team,2026-09-25,11:00 AM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,11:00 AM,RAM Truck Corral,exact,No change,HIGH
RAM Rodeo,2026-09-25,12:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,RAM Rodeo,12:00 PM,RAM Truck Corral,exact,No change,HIGH
Canadian Cowgirls Precision Drill Team,2026-09-25,2:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,2:00 PM,RAM Truck Corral,exact,No change,HIGH
RAM Rodeo,2026-09-25,3:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,RAM Rodeo,3:00 PM,RAM Truck Corral,exact,No change,HIGH
Start of Day Movement - Freezer Fitness,2026-09-25,10:00 AM,10:15 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Start of Day Movement - Freezer Fitness,10:00 AM–10:15 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Fire Cider & Honey,2026-09-25,10:15 AM,10:45 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Fire Cider & Honey - Homesteading,10:15 AM–10:45 AM,The Beyond Wireless Stage,partial,Title/time soft-diff; staging sub-stage location OK (more precise than Guide MNP tent).,MEDIUM
Harley's Pub and Perk,2026-09-25,10:45 AM,11:15 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Harley's Pub and Perk - Meal Prep,10:45 AM–11:15 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Hormones and Food - Jennifer Dunsmoor,2026-09-25,11:15 AM,12:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Hormones and Food - Jennifer Dunsmoor,11:15 AM–12:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Forest Maiden Facial & Beauty Room,2026-09-25,12:00 PM,12:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Forest Maiden Facial & Beauty Room,12:00 PM–12:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Shop by Grace,2026-09-25,12:30 PM,1:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,by Grace Boutique,12:30 PM–1:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
His Style,2026-09-25,1:00 PM,1:25 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,His Style,1:00 PM–1:25 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Makeover Reveal!,2026-09-25,1:25 PM,1:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Makeover Reveal!,1:25 PM–1:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Freezer Fitness,2026-09-25,1:45 PM,2:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Beth Fischer — Freezer Fitness,1:45 PM–2:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Functional Movement - Freezer Fitness,2026-09-25,2:00 PM,2:15 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Functional Movement — Freezer Fitness,2:00 PM–2:15 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Line Dancing - Freezer Fitness,2026-09-25,2:15 PM,2:45 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Line Dancing — Freezer Fitness,2:15 PM–2:45 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
IncREDible Light,2026-09-25,2:45 PM,3:15 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Connor Fischer — IncREDible Light,2:45 PM–3:15 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
MNP - Navigating the Succession Journey,2026-09-25,3:30 PM,4:15 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,MNP Panel Discussion: Navigating the Succession Journey,3:30 PM–4:15 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Carrie Lynn Floral + Event Styling,2026-09-25,4:15 PM,4:45 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Carrie Lynn Floral + Event Styling,4:15 PM–4:45 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Up Stage Design,2026-09-25,4:45 PM,5:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,"Angela Wainscott, Upstaged Design",4:45 PM–5:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Great Canadian Lumberjack Show,2026-09-25,10:30 AM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,10:30 AM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-25,1:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,1:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-25,3:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,3:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Lawn Mower Races (to be confirmed),2026-09-25,9:30 AM,,Event Centre #1 — West 2,Event Centre #1,no,,,,missing,Guide TBC item absent from staging — confirm with organizers before adding; do not invent.,MEDIUM
Foxton Fuels Farmall Square Dancing Tractors,2026-09-25,11:30 AM,,Event Centre #1 — West 2,Event Centre #1,yes,Foxton Fuels Farmall Square Dancing Tractors,11:30 AM,Event Centre #1 — West 2,exact,No change,HIGH
Teeswater Agro Parts Combine Demolition Derby,2026-09-25,3:30 PM,,Event Centre #1 — West 2,Event Centre #1,yes,Teeswater Agro Parts Combine Demolition Derby,3:30 PM,Event Centre #1 — West 2,exact,No change,HIGH
Catfish Gumbo,2026-09-25,7:00 PM,10:00 PM,The Bruce RV Park,The Bruce RV Park - Nightly Entertainment,yes,Catfish Gumbo,7:00 PM–10:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,conflict,LOCATION CONFLICT: Guide 'The Bruce RV Park' vs staging 'CKNX Centennial Pavilion (GFO Stage) Lounge'. Prefer Guide physical venue (Bruce RV Park ≠ CKNX Lounge).,HIGH
Bruce County Farming Through the Ages Parade,2026-09-26,11:00 AM,,Parade route (Guide does not specify assembly point),Parade Week,yes,Bruce County Farming Through the Ages,11:00 AM,Parade route coming soon,exact,No change,HIGH
Kerry Moore School Dance,2026-09-26,10:00 AM,11:00 AM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Kerry Moore School of Dance,10:00 AM–11:00 AM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Lennon & Matthew,2026-09-26,11:30 AM,12:30 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Lennon & Matthew,11:30 AM–12:30 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Grey Bruce Singers,2026-09-26,1:00 PM,2:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Grey Bruce Singers,1:00 PM–2:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Shania Twang,2026-09-26,2:00 PM,4:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Shania Twang,2:00 PM–4:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Whiskey Pine,2026-09-26,10:30 AM,12:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Whiskey Pine,10:30 AM–12:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Jeremy Mighton,2026-09-26,1:00 PM,2:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Jeremy Mighton,1:00 PM–2:30 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
EV Outlaws,2026-09-26,3:00 PM,4:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,EV Outlaws,3:00 PM–4:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
IPM 2026 Closing Ceremonies,2026-09-26,4:00 PM,,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Closing Ceremonies,4:00 PM–5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Junior Competition (tractors and horses),2026-09-26,8:30 AM,,Plowing Fields,Plowing,yes,Junior Competition (tractors and horses),8:30 AM,Plowing Fields,exact,No change,HIGH
Gregglea Clydesdales,2026-09-26,10:30 AM,,RAM Truck Corral,RAM Truck Corral,yes,Gregglea Clydesdales,10:30 AM,RAM Truck Corral,exact,No change,HIGH
Canadian Cowgirls Precision Drill Team,2026-09-26,11:00 AM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,11:00 AM,RAM Truck Corral,exact,No change,HIGH
RAM Rodeo,2026-09-26,12:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,RAM Rodeo,12:00 PM,RAM Truck Corral,exact,No change,HIGH
Canadian Cowgirls Precision Drill Team,2026-09-26,2:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,2:00 PM,RAM Truck Corral,exact,No change,HIGH
RAM Rodeo,2026-09-26,3:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,RAM Rodeo,3:00 PM,RAM Truck Corral,exact,No change,HIGH
Doors Open,2026-09-26,9:00 AM,10:00 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Doors Open — Gina Livy (Morning),9:00 AM–10:00 AM,Harley's Pub & Perk - Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Gina Livy - The Livy Method,2026-09-26,10:00 AM,11:00 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Gina Livy - The Livy Method,10:00 AM–11:00 AM,Harley's Pub & Perk - Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Doors Open,2026-09-26,12:00 PM,1:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Doors Open — Gina Livy (Afternoon),12:30 PM–1:30 PM,Harley's Pub & Perk - Stage,conflict,TIME CONFLICT: Guide 12:00 PM–1:00 PM vs staging 12:30 PM–1:30 PM. Prefer Show Guide unless newer revised entertainment PDF documents staging times.,HIGH
Gina Livy - The Livy Method,2026-09-26,1:30 PM,2:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Gina Livy - The Livy Method,1:30 PM–2:30 PM,Harley's Pub & Perk - Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Great Canadian Lumberjack Show,2026-09-26,10:30 AM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,10:30 AM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-26,1:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,1:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-26,3:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,3:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Lawn Mower Races (to be confirmed),2026-09-26,9:30 AM,,Event Centre #1 — West 2,Event Centre #1,no,,,,missing,Guide TBC item absent from staging — confirm with organizers before adding; do not invent.,MEDIUM
Foxton Fuels Farmall Square Dancing Tractors,2026-09-26,11:30 AM,,Event Centre #1 — West 2,Event Centre #1,yes,Foxton Fuels Farmall Square Dancing Tractors,11:30 AM,Event Centre #1 — West 2,exact,No change,HIGH
Teeswater Agro Parts Combine Demolition Derby,2026-09-26,3:30 PM,,Event Centre #1 — West 2,Event Centre #1,yes,Teeswater Agro Parts Combine Demolition Derby,3:30 PM,Event Centre #1 — West 2,exact,No change,HIGH
Tandem,2026-09-26,7:00 PM,10:00 PM,The Bruce RV Park,The Bruce RV Park - Nightly Entertainment,yes,Tandem,7:00 PM–10:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,conflict,LOCATION CONFLICT: Guide 'The Bruce RV Park' vs staging 'CKNX Centennial Pavilion (GFO Stage) Lounge'. Prefer Guide physical venue (Bruce RV Park ≠ CKNX Lounge).,HIGH
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,DK Salon,10:15 AM–11:15 AM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Bombshell Salon - Head spa,10:15 AM–11:15 AM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Sour Dough Sampling - The Bread Barn,11:15 AM–11:45 AM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Davishill Nursery,11:30 AM–12:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,"Ionic Foot Bath — Jen Fitzgerald, Soul Journey",11:45 AM–12:30 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Jenna Lee Lethbridge — SheWolf Reiki,12:00 PM–1:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Carrick Farm Market - Sampling,12:30 PM–1:15 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Hayley Wilhelm MUA,1:00 PM–2:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Harley's Pub and Perk - Charcuterie Sampling,1:15 PM–1:45 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Liesemer Home Hardware - Sampling smoked meats,1:45 PM–2:15 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Chelsea Spackman — All Bodies Studios,2:00 PM–3:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,GG Sips,2:15 PM–2:45 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,"Indian Head Massage — Jen Fitzgerald, Soul Journey",3:00 PM–4:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Wine Ontario,3:00 PM–4:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Thornbury Craft Co. Cider and Brew House,4:00 PM–5:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-22,,,,MNP Lifestyles Tent Events,yes,Shroom Soda - West Shore,4:00 PM–4:30 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Wood Working Demo - Mark Grubb,10:15 AM–11:00 AM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Mary Kay (Cheryl McNair),11:00 AM–11:45 AM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Liza Weltz — Essential Wellness,11:00 AM–11:45 AM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,"Reiki Master — Rachel Stroeder, Evergreen Connections",11:45 AM–12:30 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Labour of Love - Cupcake Decorating,11:45 AM–12:30 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Flossie Mae,12:30 PM–1:30 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Simply Potts by Lauriss,1:45 PM–2:30 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Bombshell Salon - Head spa,2:00 PM–3:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Willow Home,2:30 PM–3:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Cody's Egg Shack,3:00 PM–4:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Neustadt Brewery,3:15 PM–4:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-23,,,,MNP Lifestyles Tent Events,yes,Grey Matter Beer Company,4:00 PM–5:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Country Garden Greenhouse - Christmas Urns,10:15 AM–11:00 AM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Bombshell Salon - Head spa,10:15 AM–11:15 AM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Susan Seitz — Susan Seitz Studio | Creative Circle,11:30 AM–12:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,The Guest House - Replanting House Plants,11:30 AM–12:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,LaDel's Café - The Guest House - Cold Brew Sampling,12:00 PM–12:45 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Doterra with Jodi,12:30 PM–1:15 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,D’elle Calhoun — Inside Out Art Studio,1:15 PM–2:45 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Ashley Grant — Soul Purpose Reiki,1:45 PM–2:30 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Mary Kay (Cheryl McNair),2:30 PM–3:15 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Corderro - Lamb Sampling,2:45 PM–3:30 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
